symbol,type,netvalue,CNYholdings,CNY,position,calibration,hedge,hedge_ETF,GLD_ratio,GLD_price,etf_mapping,GLD-EU_ratio,GLD-EU_price,symbol_hedge,SLV_ratio,SLV_price,GLD-JP_ratio,GLD-JP_price,USO-EU_ratio,USO-EU_price,USO_ratio,USO_price,USO-JP_ratio,USO-JP_price,USO-HK_ratio,USO-HK_price
SZ160719,,2.122,6.8854,6.8649,0.97,,,,57.000000,431.81,"{'GLD': 'GLD', 'GLD-EU': '^GLD-EU'}",43.000000,427.63,"{'GLD': {'ratio': '57.000000', 'price': '431.81'}, '^GLD-EU': {'ratio': '43.000000', 'price': '427.63'}}",,,,,,,,,,,,
SZ161116,,1.7625,6.8854,6.8649,0.93,,,,87.000000,431.81,"{'GLD': 'GLD', 'GLD-EU': '^GLD-EU'}",13.000000,427.63,"{'GLD': {'ratio': '87.000000', 'price': '431.81'}, '^GLD-EU': {'ratio': '13.000000', 'price': '427.63'}}",,,,,,,,,,,,
SZ164701,,1.877,6.8854,6.8649,0.98,,,,99.000000,431.81,"{'GLD': 'GLD', 'SLV': 'SLV'}",,,"{'GLD': {'ratio': '99.000000', 'price': '431.81'}, 'SLV': {'ratio': '1.000000', 'price': '65.94'}}",1.000000,65.94,,,,,,,,,,
SZ165513,,1.1331,6.868,6.8649,0.89,,,,86.000000,434.53,"{'GLD': 'GLD', 'GLD-EU': '^GLD-EU', 'GLD-JP': '^GLD-JP'}",11.000000,436.38,"{'GLD': {'ratio': '86.000000', 'price': '434.53'}, '^GLD-EU': {'ratio': '11.000000', 'price': '436.38'}, '^GLD-JP': {'ratio': '3.000000', 'price': '444.41'}}",,,3.000000,444.41,,,,,,,,
SH501018,,1.8597,6.8854,6.8649,0.6,,,,,,"{'USO-EU': '^USO-EU', 'USO': 'USO', 'USO-JP': '^USO-JP'}",,,"{'^USO-EU': {'ratio': '47.000000', 'price': '142.405'}, 'USO': {'ratio': '29.000000', 'price': '138.08'}, '^USO-JP': {'ratio': '24.000000', 'price': '142.36'}}",,,,,47.000000,142.405,29.000000,138.08,24.000000,142.36,,
SZ160723,,2.0995,6.8854,6.8649,0.48,,,,,,"{'USO': 'USO', 'USO-EU': '^USO-EU', 'USO-JP': '^USO-JP'}",,,"{'USO': {'ratio': '34.000000', 'price': '138.08'}, '^USO-EU': {'ratio': '34.000000', 'price': '142.405'}, '^USO-JP': {'ratio': '32.000000', 'price': '142.36'}}",,,,,34.000000,142.405,34.000000,138.08,32.000000,142.36,,
SZ161129,,1.7102,6.888,6.8649,0.56,,,,,,"{'USO-EU': '^USO-EU', 'USO-JP': '^USO-JP', 'USO': 'USO', 'USO-HK': '^USO-HK'}",,,"{'^USO-EU': {'ratio': '40.000000', 'price': '136.06'}, '^USO-JP': {'ratio': '35.000000', 'price': '132.6'}, 'USO': {'ratio': '19.000000', 'price': '137.92'}, '^USO-HK': {'ratio': '6.000000', 'price': '133.27'}}",,,,,40.000000,136.06,19.000000,137.92,35.000000,132.6,6.000000,133.27
SZ162411,,0.9176,,6.8649,0.95,1284.658749,1352.272367,,,,,,,XOP,,,,,,,,,,,,
SZ161127,,1.7571,,6.8649,0.95,505.074346,531.657206,,,,,,,XBI,,,,,,,,,,,,
SPY,,659.308105,,,1,10.036052,,,,,,,,^GSPC,,,,,,,,,,,,
SZ161125,,2.7775,,6.8649,0.96,16403.117796,1702.520178,,,,,,,SPY,,,,,,,,,,,,
QQQ,,588.757067,,,1,41.107569,,,,,,,,^NDX,,,,,,,,,,,,
SZ161130,,3.7274,,6.8649,0.95,44707.573856,1144.816033,,,,,,,QQQ,,,,,,,,,,,,
